pgName,numports,vlanID
LAN_NL,8,1
MONITOR_2,8,2
PORT_MANAGEMENT_3,8,3
BACKUP_6,8,6
NEXTTECH_8,8,8
GATEWAY_9,8,9
DMZ_10,8,10
NL_internalCDE_13,8,13
NL_noneCDE_14,8,14
NL_CDE_15,8,15
ALEGO_16,8,16
NL_Other_18,8,18
XMONEY_19,8,19
NP_Other_20,8,20
TTOL_VIMO_21,8,21
NP_noneCDE_22,8,22
NP_CDE_23,8,23
MPOS_24,8,24
NL_noneCDE_25,8,25
NEXTCAM_26,8,26
NIG_Prod_27,8,27
VP-BILLGATE_30,8,30
DATALAKE_32,8,32
VIMO_36,8,36
BILLGATE_41,8,41
NL_K8S_44,8,44
NEXTLEND_45,8,45
FG_K8S_46,8,46
NP_PAYON_47,8,47
TEST_NL_100,8,100
DEV_NL_101,8,101
TEST_111,8,111
TEST_VIMO_121,8,121
TEST_NEXTPAY_150,8,150
NP_VIETTEL_229,8,229
